segment,current_price,new_price,price_change_pct,current_volume,new_volume,volume_change_pct,current_revenue,new_revenue,current_margin,new_margin,revenue_delta,margin_delta,recommendation,price_change_label
Premium,2.5223836024384214,2.2701452421945794,-0.09999999999999996,5.994624763160062,6.229775198355894,0.03922688149572726,15.120743205366246,14.142494526489426,6.048297282146498,4.714164842163143,-0.9782486788768203,-1.334132439983355,Not Recommended,-10%
Premium,2.5223836024384214,2.3962644223165004,-0.04999999999999998,5.994624763160062,6.112199980757978,0.01961344074786363,15.120743205366246,14.646447355973942,6.048297282146498,5.396059552200928,-0.47429584939230374,-0.6522377299455702,Not Recommended,-5%
Premium,2.5223836024384214,2.6485027825603424,0.04999999999999998,5.994624763160062,5.877049545562146,-0.01961344074786363,15.120743205366246,15.56538207466634,6.048297282146498,6.670878031999861,0.44463886930009444,0.6225807498533626,Recommended,+5%
Premium,2.5223836024384214,2.774621962682264,0.10000000000000014,5.994624763160062,5.75947432796423,-0.03922688149572733,15.120743205366246,15.980363963874225,6.048297282146498,7.263801801761014,0.8596207585079796,1.215504519614516,Recommended,+10%
Premium,2.5223836024384214,2.9007411428041845,0.14999999999999994,5.994624763160062,5.641899110366314,-0.05884032224359089,15.120743205366246,16.365688872989892,6.048297282146498,7.827068591429949,1.2449456676236466,1.7787713092834512,Recommended,+15%
Premium,2.5223836024384214,3.0268603229261055,0.19999999999999993,5.994624763160062,5.524323892768399,-0.07845376299145453,15.120743205366246,16.721356802013357,6.048297282146498,8.360678401006679,1.6006135966471113,2.3123811188601806,Recommended,+20%
Budget,3.112616852997146,2.8013551676974315,-0.09999999999999991,2.871959740723121,2.941087263571523,0.024069809150944567,8.9393102901041,8.239030004455183,3.5757241160416395,2.746343334818394,-0.7002802856489172,-0.8293807812232457,Not Recommended,-10%
Budget,3.112616852997146,2.9569860103472885,-0.05000000000000003,2.871959740723121,2.9065235021473224,0.0120349045754723,8.9393102901041,8.59454933459524,3.5757241160416395,3.1664129127456144,-0.34476095550886043,-0.4093112032960251,Not Recommended,-5%
Budget,3.112616852997146,3.2682476956470032,0.05000000000000003,2.871959740723121,2.83739597929892,-0.0120349045754723,8.9393102901041,9.273312870981767,3.5757241160416395,3.974276944706472,0.33400258087766765,0.3985528286648323,Recommended,+5%
Budget,3.112616852997146,3.4238785382968606,0.10000000000000006,2.871959740723121,2.802832217874719,-0.0240698091509446,8.9393102901041,9.59655707722824,3.5757241160416395,4.36207139874011,0.6572467871241408,0.7863472826984701,Recommended,+10%
Budget,3.112616852997146,3.5795093809467176,0.14999999999999994,2.871959740723121,2.7682684564505182,-0.03610471372641687,8.9393102901041,9.909042908843519,3.5757241160416395,4.739107478142552,0.9697326187394193,1.1633833621009124,Recommended,+15%
Budget,3.112616852997146,3.735140223596575,0.19999999999999998,2.871959740723121,2.7337046950263173,-0.04813961830188917,8.9393102901041,10.210770365827605,3.5757241160416395,5.105385182913802,1.271460075723505,1.5296610668721629,Recommended,+20%
Mid-tier,2.4834525977777027,2.2351073379999327,-0.0999999999999999,5.303731013626015,5.527295639004674,0.04215233102966391,13.171564563703695,12.354099042034372,5.268625825481479,4.118033014011457,-0.8174655216693232,-1.1505928114700215,Not Recommended,-10%
Mid-tier,2.4834525977777027,2.3592799678888174,-0.05000000000000004,5.303731013626015,5.415513326315344,0.021076165514831994,13.171564563703695,12.776712106610729,5.268625825481479,4.707209723488164,-0.39485245709296635,-0.5614161019933146,Not Recommended,-5%
Mid-tier,2.4834525977777027,2.607625227666588,0.05000000000000004,5.303731013626015,5.191948700936685,-0.021076165514831994,13.171564563703695,13.538656413313268,5.268625825481479,5.802281319991401,0.3670918496095723,0.5336554945099223,Recommended,+5%
Mid-tier,2.4834525977777027,2.731797857555473,0.10000000000000007,5.303731013626015,5.080166388247356,-0.04215233102966399,13.171564563703695,13.877987655439453,5.268625825481479,6.308176207017934,0.7064230917357577,1.039550381536455,Recommended,+10%
Mid-tier,2.4834525977777027,2.855970487444358,0.14999999999999994,5.303731013626015,4.968384075558027,-0.0632284965444959,13.171564563703695,14.189558290082243,5.268625825481479,6.786310486561072,1.0179937263785472,1.5176846610795929,Recommended,+15%
Mid-tier,2.4834525977777027,2.980143117333243,0.19999999999999996,5.303731013626015,4.8566017628686975,-0.08430466205932789,13.171564563703695,14.473368317241643,5.268625825481479,7.236684158620822,1.301803753537948,1.9680583331393429,Recommended,+20%
