segment,price_index,predicted_quantity,revenue
Premium,-30.0,6.700076068747558,11.830113407629245
Premium,-28.999999999999996,6.676561025227976,11.957002116007295
Premium,-27.999999999999996,6.653045981708392,12.082704545181654
Premium,-26.999999999999996,6.629530938188809,12.207220695152328
Premium,-25.999999999999996,6.606015894669225,12.330550565919312
Premium,-24.999999999999993,6.582500851149642,12.452694157482608
Premium,-23.999999999999993,6.558985807630058,12.573651469842211
Premium,-22.999999999999993,6.5354707641104755,12.693422502998132
Premium,-21.999999999999993,6.511955720590893,12.812007256950364
Premium,-20.99999999999999,6.488440677071309,12.929405731698903
Premium,-19.99999999999999,6.464925633551726,13.045617927243757
Premium,-18.99999999999999,6.441410590032143,13.160643843584923
Premium,-17.99999999999999,6.417895546512559,13.274483480722399
Premium,-16.999999999999986,6.394380502992977,13.387136838656188
Premium,-15.999999999999986,6.370865459473393,13.498603917386287
Premium,-14.999999999999986,6.3473504159538106,13.608884716912698
Premium,-13.999999999999984,6.323835372434226,13.71797923723542
Premium,-12.999999999999984,6.300320328914643,13.825887478354455
Premium,-11.999999999999982,6.276805285395059,13.932609440269797
Premium,-10.999999999999982,6.253290241875477,14.038145122981456
Premium,-9.99999999999998,6.229775198355894,14.142494526489429
Premium,-8.99999999999998,6.20626015483631,14.245657650793705
Premium,-7.99999999999998,6.182745111316727,14.347634495894297
Premium,-6.999999999999979,6.159230067797144,14.448425061791202
Premium,-5.999999999999978,6.135715024277561,14.548029348484414
Premium,-4.999999999999977,6.112199980757978,14.646447355973944
Premium,-3.999999999999976,6.088684937238394,14.743679084259782
Premium,-2.999999999999975,6.065169893718812,14.839724533341931
Premium,-1.999999999999974,6.041654850199228,14.93458370322039
Premium,-0.9999999999999731,6.0181398066796445,15.028256593895165
Premium,2.7755575615628914e-14,5.994624763160061,15.120743205366248
Premium,1.0000000000000286,5.971109719640478,15.212043537633644
Premium,2.0000000000000293,5.947594676120895,15.302157590697352
